name,artist_name,genre,uri,danceability,energy,valence,tempo
More Than My Hometown,Morgan Wallen,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.70,0.61,0.65,102.0
Chasing After You,Ryan Hurd & Maren Morris,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.68,0.57,0.63,100.0
Slow Down Summer,Thomas Rhett,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.72,0.63,0.66,104.0
Country Again,Thomas Rhett,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.70,0.60,0.64,102.0
Beer Can’t Fix,Thomas Rhett,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.73,0.64,0.68,106.0
Remember You Young,Thomas Rhett,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.71,0.62,0.66,104.0
Die a Happy Man,Thomas Rhett,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.66,0.55,0.62,95.0
Six Feet Apart,Luke Combs,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.68,0.57,0.63,98.0
Beer Never Broke My Heart,Luke Combs,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.74,0.66,0.70,108.0
Even Though I’m Leaving,Luke Combs,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.70,0.61,0.65,102.0
Better Together,Luke Combs,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.72,0.63,0.67,104.0
Forever After All,Luke Combs,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.71,0.62,0.66,104.0
Lovin’ on You,Luke Combs,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.73,0.64,0.68,106.0
When I Was Your Man,Thomas Rhett,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.70,0.61,0.65,102.0
I Was on a Boat That Day,Old Dominion,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.75,0.68,0.71,110.0
No Body No Crime,Olivia Rodrigo & Country Duo,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.70,0.60,0.64,100.0
Fancy Like,Walker Hayes,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.79,0.74,0.71,120.0
AA, Morgan Wallen,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.68,0.57,0.62,100.0
Whiskey Glasses,Morgan Wallen,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.74,0.66,0.70,108.0
Sand In My Boots,Morgan Wallen,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.71,0.63,0.66,104.0
7 Summers,Morgan Wallen,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.72,0.64,0.67,106.0
More Than My Hometown,Morgan Wallen,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.70,0.61,0.65,102.0
Chasing After You,Ryan Hurd & Maren Morris,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.68,0.57,0.63,100.0
Slow Down Summer,Thomas Rhett,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.72,0.63,0.66,104.0
Country Again,Thomas Rhett,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.70,0.60,0.64,102.0
Beer Can’t Fix,Thomas Rhett,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.73,0.64,0.68,106.0
Remember You Young,Thomas Rhett,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.71,0.62,0.66,104.0
Die a Happy Man,Thomas Rhett,country,spotify:track:3V7k6J1K2P5xT9Y4L0H8K,0.66,0.55,0.62,95.0
Six Feet Apart,Luke Combs,country,spotify:track:4P7h6V2K1R9xT3Y0L5J8H,0.68,0.57,0.63,98.0
Beer Never Broke My Heart,Luke Combs,country,spotify:track:3V6k5J2P1R9xT7Y4L0H6K,0.74,0.66,0.70,108.0
Even Though I’m Leaving,Luke Combs,country,spotify:track:4P1h5V3K2R7xT9Y6L0J2H,0.70,0.61,0.65,102.0
Better Together,Luke Combs,country,spotify:track:3V7k6J1K2P5xT9Y4
No Woman No Cry,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHB,0.68,0.45,0.75,82.4
Three Little Birds,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHC,0.72,0.55,0.95,101.3
One Love,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHD,0.75,0.60,0.98,108.7
Buffalo Soldier,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHE,0.70,0.58,0.85,114.2
Stir It Up,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHF,0.78,0.52,0.90,105.8
Could You Be Loved,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHG,0.82,0.65,0.92,112.5
Jamming,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHH,0.80,0.62,0.94,110.3
Get Up Stand Up,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHI,0.65,0.70,0.88,118.7
Red Red Wine,UB40,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHJ,0.72,0.48,0.65,96.4
Kingston Town,UB40,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHK,0.75,0.45,0.78,102.1
Many Rivers to Cross,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHL,0.58,0.35,0.42,85.2
The Harder They Come,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHM,0.68,0.72,0.80,120.5
You Can Get It If You Really Want,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHN,0.70,0.65,0.85,115.8
Pressure Drop,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHO,0.74,0.60,0.75,108.9
54-46 That's My Number,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHP,0.72,0.68,0.82,112.3
Sweet and Dandy,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHQ,0.78,0.58,0.90,106.7
Monkey Man,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHR,0.76,0.65,0.88,110.4
Bam Bam,Sister Nancy,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHS,0.82,0.62,0.85,105.2
Pass the Dutchie,Musical Youth,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHT,0.85,0.70,0.92,114.8
Murder She Wrote,Chaka Demus & Pliers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHU,0.80,0.65,0.78,108.6
Twist and Shout,Chaka Demus & Pliers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHV,0.78,0.72,0.90,116.3
Tease Me,Chaka Demus & Pliers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHW,0.75,0.68,0.85,112.9
Here I Come,Barrington Levy,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHX,0.72,0.65,0.80,110.7
Under Mi Sensi,Barrington Levy,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHY,0.78,0.58,0.88,104.5
Black Roses,Barrington Levy,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHZ,0.70,0.55,0.75,98.8
Police & Thieves,Junior Murvin,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH0,0.65,0.52,0.60,95.3
Roots Rock Reggae,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH1,0.74,0.62,0.85,109.6
Night Nurse,Gregory Isaacs,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH2,0.68,0.45,0.70,92.1
Rumours,Gregory Isaacs,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH3,0.72,0.50,0.75,96.8
My Number One,Gregory Isaacs,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH4,0.70,0.48,0.78,94.5
Warrior Charge,Burning Spear,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH5,0.65,0.70,0.82,118.3
Marcus Garvey,Burning Spear,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH6,0.62,0.65,0.75,112.7
Slavery Days,Burning Spear,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH7,0.60,0.68,0.65,115.2
The Tide Is High,The Paragons,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH8,0.75,0.55,0.85,102.4
Wear You to the Ball,The Paragons,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH9,0.72,0.52,0.80,98.7
The Loser,The Paragons,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHA,0.68,0.48,0.70,95.2
Rivers of Babylon,Boney M,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHB,0.70,0.58,0.75,108.9
Brown Girl in the Ring,Boney M,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHC,0.82,0.65,0.90,114.5
Daddy Cool,Boney M,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHD,0.78,0.72,0.88,118.2
Sunny,Boney M,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHE,0.75,0.60,0.85,110.7
Uptown Top Ranking,Althea & Donna,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHF,0.80,0.55,0.82,106.3
I Shot the Sheriff,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHG,0.68,0.62,0.70,112.8
Waiting in Vain,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHH,0.72,0.45,0.65,96.5
Exodus,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHI,0.65,0.58,0.75,104.2
Natural Mystic,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHJ,0.60,0.42,0.60,88.7
Positive Vibration,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHK,0.74,0.65,0.88,110.9
Zimbabwe,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHL,0.70,0.68,0.82,116.4
Africa Unite,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHM,0.76,0.62,0.85,108.7
So Much Trouble,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHN,0.68,0.58,0.70,105.3
Rastaman Live Up,Bob Marley & The Wailers,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHO,0.72,0.65,0.80,112.6
Bad Boys,Inner Circle,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHP,0.78,0.70,0.85,115.8
Sweat (A La La La La Long),Inner Circle,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHQ,0.82,0.75,0.90,120.4
Games People Play,Inner Circle,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHR,0.75,0.68,0.82,118.1
Tenement Yard,Jacob Miller,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHS,0.70,0.62,0.78,110.9
King Tubby Meets Rockers Uptown,Augustus Pablo,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHT,0.65,0.45,0.65,94.8
Java,Augustus Pablo,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHU,0.68,0.48,0.70,98.3
East of the River Nile,Augustus Pablo,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHV,0.62,0.42,0.60,92.7
Satta Massagana,The Abyssinians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHW,0.58,0.38,0.55,86.4
Declaration of Rights,The Abyssinians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHX,0.65,0.52,0.68,96.2
Forward On,The Abyssinians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHY,0.60,0.45,0.62,90.8
Uptown Babies,The Abyssinians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHZ,0.68,0.55,0.75,102.5
Train to Skaville,The Ethiopians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH0,0.72,0.60,0.80,108.3
The Whip,The Ethiopians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH1,0.70,0.58,0.78,105.7
Everything Crash,The Ethiopians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH2,0.75,0.65,0.82,112.9
Good Good Reggae,The Ethiopians,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH3,0.78,0.62,0.85,110.4
Queen Majesty,The Techniques,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH4,0.65,0.48,0.70,96.8
You Don't Care,The Techniques,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH5,0.68,0.45,0.65,94.2
Love Is Not a Gamble,The Techniques,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH6,0.62,0.42,0.60,89.7
Travelling Man,The Techniques,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH7,0.70,0.52,0.75,100.5
54-46 Was My Number,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH8,0.74,0.68,0.80,114.8
Funky Kingston,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH9,0.80,0.72,0.88,118.6
Louie Louie,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHA,0.76,0.65,0.85,112.3
Time Tough,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHB,0.70,0.60,0.75,108.9
Pomps and Pride,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHC,0.72,0.62,0.78,110.7
Do the Reggay,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHD,0.78,0.58,0.82,106.4
It's My Party,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHE,0.75,0.65,0.85,112.8
Bla Bla Bla,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHF,0.68,0.55,0.80,104.6
Never You Change,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHG,0.65,0.48,0.70,98.3
Reggae Got Soul,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHH,0.74,0.60,0.82,108.1
True Love,Toots & The Maytals,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHI,0.70,0.52,0.78,102.9
96 Degrees in the Shade,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHJ,0.68,0.58,0.70,105.8
Now That We've Found Love,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHK,0.82,0.70,0.90,116.7
Try Jah Love,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHL,0.75,0.65,0.85,112.4
Sense of Purpose,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHM,0.72,0.62,0.80,110.2
Committed,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHN,0.70,0.60,0.78,108.6
Always Around,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHO,0.68,0.55,0.75,104.9
Reggae Ambassador,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHP,0.74,0.65,0.82,112.1
Forbidden Love,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHQ,0.65,0.52,0.68,98.7
Night Flight,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHR,0.70,0.58,0.75,106.3
Cool Meditation,Third World,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHS,0.62,0.45,0.65,94.8
Legalize It,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHT,0.72,0.60,0.80,108.5
Equal Rights,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHU,0.68,0.65,0.75,112.9
Stepping Razor,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHV,0.65,0.70,0.70,118.4
Downpressor Man,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHW,0.60,0.62,0.65,115.7
Mystic Man,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHX,0.70,0.58,0.72,106.8
Buk-In-Hamm Palace,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHY,0.74,0.55,0.78,104.2
Pick Myself Up,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHZ,0.68,0.60,0.75,108.3
I Am That I Am,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH0,0.65,0.52,0.70,102.6
Jah Guide,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH1,0.62,0.48,0.68,98.9
Rastafari Is,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH2,0.70,0.58,0.75,106.1
Moses - The Prophecy,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH3,0.60,0.65,0.65,112.8
Soon Come,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH4,0.72,0.55,0.78,104.7
The Toughest,Peter Tosh,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH5,0.68,0.62,0.72,108.9
Crystal Ball,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH6,0.70,0.65,0.75,112.4
Drug Squad,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH7,0.65,0.68,0.70,115.8
Ku Klux Klan,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH8,0.62,0.72,0.65,118.3
Handsworth Revolution,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH9,0.74,0.70,0.78,116.7
Sound System,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHA,0.78,0.65,0.82,114.2
Ravers,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHB,0.75,0.68,0.85,112.9
Bodyguard,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHC,0.70,0.62,0.75,110.4
Babylon Makes the Rules,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHD,0.68,0.65,0.70,112.1
Blues Dance Raid,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHE,0.72,0.60,0.78,108.6
Tribute to the Martyrs,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHF,0.65,0.58,0.68,105.3
Uncle George,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHG,0.70,0.62,0.75,110.8
Guess Who's Coming to Dinner,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHH,0.68,0.65,0.72,112.5
Sponji Reggae,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHI,0.74,0.68,0.80,114.9
Solidarity,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHJ,0.72,0.70,0.78,116.2
What Is Life,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHK,0.70,0.65,0.75,112.7
The Great Train Robbery,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHL,0.68,0.72,0.70,118.4
Botanical Roots,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHM,0.65,0.60,0.68,108.3
Shine Eye Gal,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHN,0.72,0.58,0.75,106.9
Push Push,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHO,0.74,0.65,0.78,110.5
Party Next Door,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHP,0.78,0.62,0.82,108.1
Right Stuff,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHQ,0.75,0.68,0.80,112.8
Sinsemilla,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHR,0.70,0.65,0.75,110.2
Plastic Smile,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHS,0.68,0.60,0.70,106.7
Happiness,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHT,0.72,0.58,0.78,104.8
General Penitentiary,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHU,0.65,0.62,0.65,108.9
World Is Africa,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHV,0.70,0.68,0.72,112.3
Emotional Slaughter,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHW,0.68,0.65,0.70,110.7
Puff She Puff,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHX,0.72,0.60,0.75,106.4
Journey,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHY,0.70,0.58,0.72,104.1
Dread in the Mountain,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHZ,0.65,0.62,0.68,108.6
Peace and Love,Black Uhuru,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH0,0.74,0.55,0.78,102.9
Rockstone,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH1,0.76,0.65,0.82,110.3
Rally Round,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH2,0.78,0.70,0.85,114.8
Throne of Gold,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH3,0.72,0.68,0.80,112.1
Wild Goose Chase,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH4,0.70,0.65,0.75,110.7
Door of No Return,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH5,0.68,0.62,0.70,108.4
Global Warning,Steel Pulse,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH6,0.65,0.68,0.65,112.9
Brown Eyed Girl,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH7,0.75,0.60,0.85,108.2
Sitting in Limbo,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH8,0.68,0.45,0.65,94.7
Wonderful World, Beautiful People Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gH9,0.72,0.58,0.80,106.3
Vietnam,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHA,0.65,0.62,0.60,110.8
Struggling Man,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHB,0.70,0.65,0.70,112.5
Let Your Yeah Be Yeah,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHC,0.74,0.60,0.82,108.9
The Power and the Glory,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHD,0.68,0.58,0.75,105.6
Give the People What They Want,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHE,0.72,0.65,0.78,110.4
Reggae Night,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHF,0.78,0.68,0.85,114.7
We All Are One,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHG,0.75,0.62,0.82,112.2
Save Our Planet Earth,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHH,0.70,0.65,0.75,110.9
One More,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHI,0.72,0.60,0.78,108.1
Cry No More,Jimmy Cliff,reggae,spotify:track:5bV4dcKU6ZAaav7N5k8gHJ,0.68,0.55,0.70,104.8
A Message to You Rudy,The Specials,ska,spotify:track:4WKUbY9mbM3gKgRgZfNhN6,0.78,0.72,0.85,128.5
Ghost Town,The Specials,ska,spotify:track:2uN6ndCbxYgVCbFvNsgJDL,0.65,0.58,0.45,105.3
Too Much Too Young,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tL,0.82,0.85,0.90,145.2
Gangsters,The Specials,ska,spotify:track:6TaeKqd4LMqkltKtQJ5qZQ,0.75,0.78,0.75,132.8
Rat Race,The Specials,ska,spotify:track:5vG5U7Y2drOBhL7kE2QKjQ,0.70,0.75,0.65,138.4
Nite Klub,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tM,0.80,0.70,0.80,135.6
Do the Dog,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tN,0.78,0.82,0.85,142.3
Monkey Man,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tO,0.76,0.75,0.82,140.1
Stupid Marriage,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tP,0.72,0.78,0.70,136.9
Little Bitch,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tQ,0.74,0.80,0.75,139.2
It's Up to You,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tR,0.68,0.72,0.68,133.7
Friday Night, Saturday Morning The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tS,0.65,0.65,0.60,130.4
Do Nothing,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tT,0.70,0.68,0.65,132.1
Stereotype,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tU,0.73,0.75,0.72,134.8
International Jet Set,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tV,0.77,0.78,0.78,137.5
Racist Friend,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tW,0.69,0.70,0.55,131.9
Nelson Mandela,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tX,0.81,0.82,0.88,143.6
Breakdown,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tY,0.71,0.76,0.65,135.3
The Boiler,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tZ,0.63,0.60,0.40,125.8
War Crimes,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t0,0.67,0.72,0.58,130.7
Rudy A Message to You,The Specials,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t1,0.79,0.74,0.83,129.1
One Step Beyond,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t2,0.85,0.88,0.92,155.3
Baggy Trousers,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t3,0.83,0.85,0.90,152.7
House of Fun,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t4,0.82,0.87,0.91,154.2
Our House,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t5,0.78,0.75,0.85,140.8
Night Boat to Cairo,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t6,0.80,0.82,0.88,148.6
Embarrassment,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t7,0.72,0.70,0.60,135.4
The Prince,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t8,0.81,0.84,0.86,150.1
My Girl,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8t9,0.76,0.72,0.82,142.9
Return of the Los Palmas 7,Madness,ska,spotify:track:5p2d1nZx1oGr4pFpF6V8tA,0.79,0.78,0.84,146.3
